completed_orders,average_fulfillment_time,total_distance,collisions,charging_events,average_battery,utilization,tick
0,0,0.0,0,0,54.45,0.63,1820
0,0,0.0,0,0,54.2,0.63,1830
0,0,0.0,0,0,53.95,0.64,1840
0,0,0.0,0,0,53.7,0.64,1850
0,0,0.0,0,0,53.45,0.64,1860
0,0,0.0,0,0,53.2,0.64,1870
0,0,0.0,0,0,52.95,0.64,1880
0,0,0.0,0,0,52.7,0.64,1890
0,0,0.0,0,0,52.45,0.65,1900
0,0,0.0,0,0,52.2,0.65,1910
0,0,0.0,0,0,51.95,0.65,1920
0,0,0.0,0,0,51.7,0.65,1930
0,0,0.0,0,0,51.45,0.65,1940
0,0,0.0,0,0,51.2,0.66,1950
0,0,0.0,0,0,50.95,0.66,1960
0,0,0.0,0,0,50.7,0.66,1970
0,0,0.0,0,0,50.45,0.66,1980
0,0,0.0,0,0,50.2,0.66,1990
